id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
5NX1_C	1	11	81	1	100	100%
5NX3_C	1	11	81	0	95.06%	100%
6HAR_E	1	11	80	0	96.25%	98%
1AAP_A	1	11	58	0	96.55%	71%
1TAW_B	1	11	58	0	96.55%	71%
1ZJD_B	1	11	57	0	100.00%	70%
1BRC_I	1	11	56	0	96.43%	69%
5NX1_D	1	11	56	0	100.00%	69%
5NX3_D	1	11	56	0	92.86%	69%
1CA0_D	1	11	54	0	100.00%	66%
3L33_E	1	11	52	0	100.00%	64%
6BX8_B	2	1	80	1	100	100%
4BQD_A	3	1	79	1	100	100%
1YC0_I	4	4	75	1	100	100%
4ISN_B	4	4	62	0	95.16%	82%
4ISL_B	4	4	60	0	98.33%	80%
4ISO_B	4	4	60	0	98.33%	80%
4DTG_K	5	2	66	1	100	100%
1TFX_C	5	2	58	0	100.00%	87%
1F5R_I	6	106	65	1	100	100%
1F7Z_I	6	106	65	0	100.00%	100%
3TGI_I	6	106	65	0	100.00%	100%
3TGJ_I	6	106	65	0	100.00%	100%
3TGK_I	6	106	65	0	100.00%	100%
1T8L_B	6	106	59	0	94.92%	90%
1AAL_A	6	106	58	0	96.55%	89%
1B0C_A	6	106	58	0	100.00%	89%
1BHC_A	6	106	58	0	100.00%	89%
1BPI_A	6	106	58	0	100.00%	89%
1BPT_A	6	106	58	0	98.28%	89%
1BTH_P	6	106	58	0	100.00%	89%
1BTI_A	6	106	58	0	98.28%	89%
1BZ5_A	6	106	58	0	100.00%	89%
1BZX_I	6	106	58	0	100.00%	89%
1CBW_D	6	106	58	0	100.00%	89%
1D0D_B	6	106	58	0	100.00%	89%
1EAW_B	6	106	58	0	100.00%	89%
1EJM_B	6	106	58	0	94.83%	89%
1FAN_A	6	106	58	0	98.28%	89%
1FY8_I	6	106	58	0	100.00%	89%
1G6X_A	6	106	58	0	93.10%	89%
1K6U_A	6	106	58	0	93.10%	89%
1MTN_D	6	106	58	0	100.00%	89%
1NAG_A	6	106	58	0	98.28%	89%
1P2I_I	6	106	58	0	96.55%	89%
1P2J_I	6	106	58	0	96.55%	89%
1P2K_I	6	106	58	0	96.55%	89%
1P2M_B	6	106	58	0	96.55%	89%
1P2N_B	6	106	58	0	96.55%	89%
1P2O_B	6	106	58	0	96.55%	89%
1P2Q_B	6	106	58	0	96.55%	89%
1QLQ_A	6	106	58	0	93.10%	89%
1T7C_B	6	106	58	0	96.55%	89%
1T8M_B	6	106	58	0	96.55%	89%
1T8N_B	6	106	58	0	96.55%	89%
1T8O_B	6	106	58	0	96.55%	89%
1TPA_I	6	106	58	0	100.00%	89%
2FI3_I	6	106	58	0	96.55%	89%
2FI4_I	6	106	58	0	98.28%	89%
2FI5_I	6	106	58	0	98.28%	89%
2FTL_I	6	106	58	0	100.00%	89%
2FTM_B	6	106	58	0	98.28%	89%
2HEX_A	6	106	58	0	100.00%	89%
2IJO_I	6	106	58	0	100.00%	89%
2KAI_I	6	106	58	0	100.00%	89%
2PTC_I	6	106	58	0	100.00%	89%
2R9P_I	6	106	58	0	100.00%	89%
2RA3_I	6	106	58	0	100.00%	89%
2TGP_I	6	106	58	0	100.00%	89%
2TPI_I	6	106	58	0	100.00%	89%
2ZJX_A	6	106	58	0	91.38%	89%
2ZVX_A	6	106	58	0	91.38%	89%
3BTD_I	6	106	58	0	96.55%	89%
3BTE_I	6	106	58	0	96.55%	89%
3BTF_I	6	106	58	0	96.55%	89%
3BTG_I	6	106	58	0	96.55%	89%
3BTH_I	6	106	58	0	96.55%	89%
3BTK_I	6	106	58	0	100.00%	89%
3BTM_I	6	106	58	0	96.55%	89%
3BTQ_I	6	106	58	0	96.55%	89%
3BTT_I	6	106	58	0	96.55%	89%
3BTW_I	6	106	58	0	96.55%	89%
3FP6_I	6	106	58	0	100.00%	89%
3FP8_I	6	106	58	0	100.00%	89%
3GYM_I	6	106	58	0	100.00%	89%
3LDI_A	6	106	58	0	100.00%	89%
3LDJ_A	6	106	58	0	100.00%	89%
3LDM_E	6	106	58	0	100.00%	89%
3OTJ_I	6	106	58	0	100.00%	89%
3P92_E	6	106	58	0	96.55%	89%
3P95_E	6	106	58	0	96.55%	89%
3TPI_I	6	106	58	0	100.00%	89%
3U1J_E	6	106	58	0	100.00%	89%
4DG4_E	6	106	58	0	100.00%	89%
4PTI_A	6	106	58	0	100.00%	89%
4TPI_I	6	106	58	0	98.28%	89%
4WWY_C	6	106	58	0	100.00%	89%
4Y0Y_I	6	106	58	0	100.00%	89%
4Y0Z_I	6	106	58	0	98.28%	89%
4Y10_I	6	106	58	0	98.28%	89%
4Y11_I	6	106	58	0	98.28%	89%
5PTI_A	6	106	58	0	100.00%	89%
5XX2_A	6	106	58	0	91.38%	89%
5XX3_A	6	106	58	0	91.38%	89%
5XX4_A	6	106	58	0	91.38%	89%
5XX5_A	6	106	58	0	91.38%	89%
5XX6_A	6	106	58	0	91.38%	89%
5XX7_A	6	106	58	0	91.38%	89%
5XX8_A	6	106	58	0	91.38%	89%
6F1F_A	6	106	58	0	100.00%	89%
6PTI_A	6	106	58	0	100.00%	89%
7PTI_A	6	106	58	0	96.55%	89%
7QIQ_D	6	106	58	0	98.28%	89%
7QIR_D	6	106	58	0	98.28%	89%
7QIS_D	6	106	58	0	98.28%	89%
7QIT_D	6	106	58	0	98.28%	89%
8PTI_A	6	106	58	0	98.28%	89%
9PTI_A	6	106	58	0	100.00%	89%
7PH1_I	6	106	57	0	98.25%	87%
1YKT_B	6	106	56	0	100.00%	86%
1YLC_B	6	106	56	0	92.86%	86%
4WXV_C	6	106	55	0	100.00%	84%
5YVU_I	6	106	55	0	100.00%	84%
5YW1_I	6	106	55	0	94.55%	84%
3FP7_J	6	106	43	0	100.00%	66%
1ZR0_B	7	1	63	1	100	100%
3WNY_A	8	4	63	1	100	100%
5JB4_A	8	4	58	0	94.83%	92%
5JB5_A	8	4	58	0	93.10%	92%
5JB6_A	8	4	58	0	91.38%	92%
1BUN_B	9	1	61	1	100	100%
3M7Q_B	10	4	61	1	100	100%
3OFW_A	10	4	60	0	100.00%	98%
3UOU_B	10	4	55	0	98.18%	90%
3T62_D	10	4	54	0	100.00%	88%
6Q61_A	11	3	61	1	100	100%
6Q6C_A	11	3	61	0	96.72%	100%
1Y62_A	11	3	60	0	98.33%	98%
4NTW_B	12	3	60	1	100	100%
4NTX_B	12	3	60	0	100.00%	100%
4NTY_B	12	3	60	0	100.00%	100%
5YV7_A	13	2	60	1	100	100%
6KZF_A	13	2	60	0	98.33%	100%
1DTX_A	14	1	59	1	100	100%
3BYB_A	15	4	59	1	100	100%
3UIR_C	15	4	59	0	100.00%	100%
5ZJ3_A	15	4	59	0	100.00%	100%
3D65_I	15	4	57	0	100.00%	96%
4U30_X	16	1	59	1	100	100%
6YHY_A	17	1	59	1	100	100%
1KNT_A	18	3	58	1	100	100%
1KTH_A	18	3	58	0	100.00%	100%
2KNT_A	18	3	58	0	100.00%	100%
5JB7_A	19	1	58	1	100	100%
5M4V_A	20	1	57	1	100	100%
1YLD_B	21	1	56	1	100	100%
1FAK_I	22	1	55	1	100	100%
4U32_X	23	1	55	1	100	100%
5JBT_Y	24	1	38	1	100	100%
